"Thématiques","Critères","Accueil|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/index",Authentification|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/authentification.afficher?onglet=connexion&token=3lMCbVCVwqn2SEp810S1rQ%3D%3D,"Créer une demande (authentifié)|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/demandeCreation",Localisation|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/demandeCreation/localisation.afficher,"Éligibilité (après avoir cliqué sur ""vérifier"")|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/eligibilite.afficher","Formulaire ""Informations générales""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/informationsGenerales.afficher","Formulaire ""Demandeurs""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/demandeurs.afficher","Formulaire ""Composition du foyer""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/compositionFoyer.afficher","Formulaire ""Situation professionnelle""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/situationProfessionnelle.afficher","Formulaire ""Récapitulatif""|https://nuu-pgp.rct01.kleegroup.com/nuu_gp-rec2/espacePrive/demandeCreation/saisie/recapitulatif.afficher","Formulaire ""Fin""|","Contact","Mentions légales","Accessibilité","Aide / Support"
"8","3","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|Pas d'attribut `lang=""fr""`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`","nc|L'attribut `lang=""fr""` est sur la balise `<head>` au lieu de la balise `<html>`"
"8","4","c","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`","nc|Pas d'attribut `lang=""fr""`"
"8","5","c",c,,,,,,,,,,,,,
"9","1","nc|Aucun titre !",nc|Aucun titre !,"nc|Aucun titre !",nc|Aucun titre !,"nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !","nc|Aucun titre !"
"10","3","c|Si l'on désactive les styles, les informations sont dupliquées de nombreuses fois...",c,"c",,,,,,,,,,,,
"10","6","nc|Les 3 liens centraux ""Tout savoir..., Connaitre les offres..., Demander de l'aide..."" ne sont pas de nature évidente et ne sont pas visibles par rapport au texte environnant","nc|Le lien contact ""contact@demandelogementsocial.fr"" n'est pas de natude évidente et ne dispose pas d'autre indication visuelle qu'un changement de couleur, au survol et au focus.","nc|Les liens comme ""En savoir plus"" ou ""Lire la suite"" n'ont pas d'indication visuelle au focus",,,,,,,,,,,,
"10","7","nc|Le style du focus est désactivé",nc|Le style du focus est désactivé,"nc|Le style du focus est désactivé",nc|Le style du focus est désactivé,"nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé","nc|Le style du focus est désactivé"
"11","1","na",c|Plusieurs éléments `<label>` qui n'ont pas lieu d'être,"na",,,,,,,,,,,,
"11","2","na","nc|Le champ ""Date"" est séparé en 3 champs qui doivent être ""jour"", ""mois"" et ""année"" mais ce n'est pas explicite.","na",,,,,,,,,,,,
"11","5","na","nc|Pas de fieldset ni d'élément avec attribut `role=""group""`","na",,,,,,,,,,,,
"11","6","na",na,"na",,,,,,,,,,,,
"11","9","na",c|Il n'est pas nécessaire de dupliquer l'intitulé visible à l'identique dans l'attribut `title`,"na|Le lien ""Je commence ma saisie"" devrait être un bouton avec l'attribut`type=""submit""`",,,,,,,,,,,,
"11","10","na",nc|Pas d'indication de format de données à saisir pour la Date,"na",,,,,,,,,,,,
"12","8","c",c,"c",,,,,,,,,,,,
"12","9","c",c,"c",,,,,,,,,,,,
